scrape_timestamp,page_number,row_number,inferred_name,inferred_handle,inferred_followers,inferred_er,inferred_engagement,numeric_tokens,percent_tokens,all_visible_text,visible_lines_json,debug_notes,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12
2026-03-30T10:16:27,3,7,David Alexander,@davidalexander,1.5M,0.02%,0.02,"[""1.5M"", ""0.02"", ""291""]","[""0.02%""]",David Alexander | @davidalexander | 1.5M | 0.02% | 291 | Save,"[""David Alexander"", ""@davidalexander"", ""1.5M"", ""0.02%"", ""291"", ""Save""]",,David Alexander,@davidalexander,1.5M,0.02%,291,Save,,,,,,
2026-03-30T10:16:27,3,8,Alianyi Palmar | Fitness Coach,@alianyipalmar,1.5M,0.35%,0.35,"[""1.5M"", ""0.35"", ""5.1k""]","[""0.35%""]",Alianyi Palmar | Fitness Coach | @alianyipalmar | 1.5M | 0.35% | 5.1k | Save,"[""Alianyi Palmar | Fitness Coach"", ""@alianyipalmar"", ""1.5M"", ""0.35%"", ""5.1k"", ""Save""]",,Alianyi Palmar | Fitness Coach,@alianyipalmar,1.5M,0.35%,5.1k,Save,,,,,,
2026-03-30T10:16:27,3,9,Jafar Jafari,@masterjeffofficial,1.4M,0.59%,0.59,"[""1.4M"", ""0.59"", ""8.4k""]","[""0.59%""]",Jafar Jafari | @masterjeffofficial | 1.4M | 0.59% | 8.4k | Save,"[""Jafar Jafari"", ""@masterjeffofficial"", ""1.4M"", ""0.59%"", ""8.4k"", ""Save""]",,Jafar Jafari,@masterjeffofficial,1.4M,0.59%,8.4k,Save,,,,,,
2026-03-30T10:16:27,3,10,Michael Boshnack,@postureguymike,1.4M,0.04%,0.04,"[""1.4M"", ""0.04"", ""602""]","[""0.04%""]",Michael Boshnack | @postureguymike | 1.4M | 0.04% | 602 | Save,"[""Michael Boshnack"", ""@postureguymike"", ""1.4M"", ""0.04%"", ""602"", ""Save""]",,Michael Boshnack,@postureguymike,1.4M,0.04%,602,Save,,,,,,
2026-03-30T10:16:27,3,11,Craig Golias,@craiggolias,1.4M,0.76%,0.76,"[""1.4M"", ""0.76"", ""10.6k""]","[""0.76%""]",Craig Golias | @craiggolias | 1.4M | 0.76% | 10.6k | Save,"[""Craig Golias"", ""@craiggolias"", ""1.4M"", ""0.76%"", ""10.6k"", ""Save""]",,Craig Golias,@craiggolias,1.4M,0.76%,10.6k,Save,,,,,,
2026-03-30T10:16:27,3,12,Dr Layla Sade,@drlaylasade,1.4M,0.23%,0.23,"[""1.4M"", ""0.23"", ""3.3k""]","[""0.23%""]",Dr Layla Sade | @drlaylasade | 1.4M | 0.23% | 3.3k | Save,"[""Dr Layla Sade"", ""@drlaylasade"", ""1.4M"", ""0.23%"", ""3.3k"", ""Save""]",,Dr Layla Sade,@drlaylasade,1.4M,0.23%,3.3k,Save,,,,,,
2026-03-30T10:16:27,3,13,Trent Harrison | Online Fitness Coach,@trizzlemanfitness,1.4M,0.27%,0.27,"[""1.4M"", ""0.27"", ""3.7k""]","[""0.27%""]",Trent Harrison | Online Fitness Coach | @trizzlemanfitness | 1.4M | 0.27% | 3.7k | Save,"[""Trent Harrison | Online Fitness Coach"", ""@trizzlemanfitness"", ""1.4M"", ""0.27%"", ""3.7k"", ""Save""]",,Trent Harrison | Online Fitness Coach,@trizzlemanfitness,1.4M,0.27%,3.7k,Save,,,,,,
2026-03-30T10:16:27,3,14,Roynier Benitez,@rbnfitness_,1.3M,0.28%,0.28,"[""1.3M"", ""0.28"", ""3.8k""]","[""0.28%""]",Roynier Benitez | @rbnfitness_ | 1.3M | 0.28% | 3.8k | Save,"[""Roynier Benitez"", ""@rbnfitness_"", ""1.3M"", ""0.28%"", ""3.8k"", ""Save""]",,Roynier Benitez,@rbnfitness_,1.3M,0.28%,3.8k,Save,,,,,,
2026-03-30T10:16:27,3,15,Baron Mentor,@baronmentorx,1.3M,0%,0,"[""1.3M"", ""0"", ""7""]","[""0%""]",Baron Mentor | @baronmentorx | 1.3M | 0% | 7 | Save,"[""Baron Mentor"", ""@baronmentorx"", ""1.3M"", ""0%"", ""7"", ""Save""]",,Baron Mentor,@baronmentorx,1.3M,0%,7,Save,,,,,,
2026-03-30T10:16:54,4,1,Jennifer Perri,@jenniferperri.official,1.3M,1.56%,1.56,"[""1.3M"", ""1.56"", ""20.5k""]","[""1.56%""]",Jennifer Perri | @jenniferperri.official | 1.3M | 1.56% | 20.5k | Save,"[""Jennifer Perri"", ""@jenniferperri.official"", ""1.3M"", ""1.56%"", ""20.5k"", ""Save""]",,Jennifer Perri,@jenniferperri.official,1.3M,1.56%,20.5k,Save,,,,,,
